Unnamed: 0,author,comment,published_at,cleaned_comment,sentiment,emotion,hate_speech,irony
41,@stacey2900,WE NEED CHANDLER,2024-09-26T00:15:52Z,need chandler,NEU,others,[],not ironic
42,@Mathias2324MathiasGarcía2,Mr beast help vanezuela,2024-09-26T00:00:32Z,mr beast help vanezuela,NEU,others,[],not ironic
43,@AriaWangsa-gn8uf,The best Mr Beast,2024-09-25T23:49:19Z,best mr beast,POS,joy,[],ironic
44,@The_Courier-g3e,The best mrbeast contestant has joined🔥,2024-09-25T23:35:36Z,best mrbeast contestant joined,POS,others,[],ironic
46,@SadiqKhan22-n5j,I love mr beast,2024-09-25T21:08:41Z,love mr beast,POS,joy,[],ironic
47,@Soccerfan007,Hi,2024-09-25T21:03:44Z,hi,NEU,others,[],not ironic
48,@selaniearmoogum8711,HI,2024-09-25T19:20:21Z,hi,NEU,others,[],not ironic
49,@javienGonell,mr.beest im a big fan of you,2024-09-25T19:17:14Z,mrbeest im big fan,POS,others,[],ironic
50,@joeypunnett,where is chanleder,2024-09-25T18:24:01Z,chanleder,NEU,others,[],not ironic
52,@josephpoole5306,Where our cookies,2024-09-25T17:45:59Z,cooky,NEU,others,[],not ironic
53,@Thetwogamer-zs4du,We love you keep the hard work going ❤❤,2024-09-25T17:40:23Z,love keep hard work going,POS,joy,[],ironic
54,@BelenGranizo-zi8qz,Estaban unos ojos atrás de atrás de Mr Bean grandotes cambiaron de colores,2024-09-25T17:37:46Z,estaban unos ojos atras de atras de mr bean grandotes cambiaron de colores,NEU,others,[],not ironic
56,@gameloves6551,I won all challenges,2024-09-25T16:25:51Z,challenge,NEU,others,[],not ironic
57,@d_king_134,"Amazing video  ,👌👌👌👌",2024-09-25T16:02:28Z,amazing video,POS,joy,[],not ironic
58,@sarmilastha47,Banger video,2024-09-25T15:43:06Z,banger video,NEU,others,[],not ironic
59,@DiniKəlamlar,You are  a very kind person.,2024-09-25T15:26:44Z,kind person,POS,others,[],not ironic
60,@mrbob-gaming11,pls (persian  audio track),2024-09-25T14:53:09Z,pls persian audio track,NEU,others,[],not ironic
61,@ERROR-w9b,They took cameraman never dies to a next level 💀,2024-09-25T14:38:26Z,took cameraman never dy next level,NEG,others,[],not ironic
62,@RiprowTravels,Follow us 👏🏻,2024-09-25T12:48:24Z,follow u,NEU,others,[],not ironic
63,@willardmusipa609,mr beast the best😜😜,2024-09-25T11:41:57Z,mr beast best,POS,others,[],not ironic
64,@SushmaSushmadhiman-dq1vm,Wowwwww😂,2024-09-25T11:11:03Z,wo,NEU,others,[],not ironic
65,@donimaulana9421,Nice vlog.. Greeting from indonesia❤❤,2024-09-25T11:07:52Z,nice vlog greeting indonesia,POS,joy,[],ironic
66,@Irfanansari-zy7ur,Do you guys have any challenge for me I am from india,2024-09-25T09:46:44Z,guy challenge india,NEU,others,[],not ironic
67,@hazimsoab8124,Super❤❤❤,2024-09-25T09:14:03Z,super,NEU,others,[],ironic
68,@Nikamir2012,Minecraft be like:,2024-09-25T08:05:44Z,minecraft like,NEU,others,[],not ironic
69,@SkyMiller-y3x,CAVE…….CAVE……..CAVE,2024-09-25T07:47:26Z,cavecavecave,NEU,others,[],not ironic
70,@avadoesstupidshit9930,this validated me so much bc I grew up doing stuff like this,2024-09-25T06:54:38Z,validated much bc grew stuff like,NEU,others,[],not ironic
72,@AlvaroZavier-x3r,I love scary challenges like this MrBeast keep it up !!,2024-09-25T04:49:57Z,love scary challenge like mrbeast keep,POS,others,[],ironic
75,@BenjaminKirbyTennyson-g4k,Perfect 🥰 😊,2024-09-25T04:08:44Z,perfect,POS,others,[],ironic
76,@DevilBi1052D,❤ Ronaldo is coming 😂😂,2024-09-25T03:25:09Z,ronaldo coming,NEU,others,[],not ironic
77,@MkdOfficialShort,Nice❤❤❤❤😂😂,2024-09-25T03:21:19Z,nice,POS,others,[],ironic
78,@Lorigirl123,The thing u do to make us vid 🎉,2024-09-25T02:53:40Z,thing u make u vid,NEU,others,[],not ironic
79,@CocaAjeatas,Siiuuu 🐐🐐 ❤💚,2024-09-25T01:46:54Z,siiuuu,NEU,others,[],not ironic
80,@Kavanbir,Ronaldo vs mrbeast😂,2024-09-25T01:08:39Z,ronaldo v mrbeast,NEU,others,[],ironic
82,@matefranlaguna3968,entering a minecraft cave 😂,2024-09-24T19:59:56Z,entering minecraft cave,NEU,others,[],not ironic
83,@hittergameing2733,"it's really very interesting ......!🤩
if any time i have opportunity to meet with you ........... i will be trying to do some challenge with you...!🥰",2024-09-24T18:05:56Z,really interesting time opportunity meet trying challenge,POS,joy,[],not ironic
84,@BADSTUDENT-eh5jw,"Bro carry on no  one can beat you  in yt 
There have no :mf in earth🌎 to beat you in yt ❤🎉",2024-09-24T17:22:58Z,bro carry one beat yt mf earth beat yt,NEU,others,[],not ironic
85,@MineCat_minecraft,He testen cave Update in Minecraft,2024-09-24T17:15:27Z,testen cave update minecraft,NEU,others,[],not ironic
86,@lotusgift4022,Omg this gives me anxiety i didn't finished watching.,2024-09-24T17:08:15Z,omg give anxiety didnt finished watching,NEG,fear,[],not ironic
88,@ForgedFiresuy,❤ I love your videos,2024-09-24T16:37:56Z,love video,POS,others,[],ironic
89,@Aadiremo989,No one best him😎,2024-09-24T16:29:52Z,one best,POS,others,[],ironic
90,@Synapse007-t6r,Invite me on the next trip jimmy,2024-09-24T16:26:25Z,invite next trip jimmy,NEU,others,[],ironic
91,@VoidQuest.Gaming,I have never had Feastables,2024-09-24T15:55:32Z,never feastables,NEG,others,[],ironic
92,@MustafaurasÇok,Yeeeeee🎉🎉🎉🎉🎉🎉,2024-09-24T15:21:24Z,yeeeeee,POS,others,[],ironic
93,@GautamRavi-fl4nl,taruq had a hard time as a camaraman i hope he is getting a high salary,2024-09-24T15:20:01Z,taruq hard time camaraman hope getting high salary,NEU,others,[],not ironic
94,@ناصرالمري-ش8و,You live 24 hours in a house in the woods.,2024-09-24T15:12:38Z,live hour house wood,NEU,others,[],not ironic
95,@SHIVPRASADORAON100,"Mr beast take me your video ,I am from India",2024-09-24T15:02:25Z,mr beast take video india,NEU,others,[],not ironic
96,@shihihutag1,Cr7 survival challenge 😂,2024-09-24T14:48:32Z,cr survival challenge,NEU,others,[],not ironic
97,@PhươngThảoNguyễnThị-l3x,Tôi thấy các bạn rất giỏi,2024-09-24T14:20:39Z,toi thay cac ban rat gioi,NEU,others,[],not ironic
98,@FlavioJordao-fr2gl,"Venha fazer um desafio cá em Angola ou me leva para participar de um, por favor.😭😭",2024-09-24T14:11:04Z,venha fazer um desafio ca em angola ou lev para participar de um por favor,NEU,others,[],not ironic
99,@suadmhanna8916,It's mrbeast,2024-09-24T14:01:01Z,mrbeast,NEU,others,[],not ironic
101,@danielMendezz-p5m,Me encantó el video 😌🙌,2024-09-24T13:23:51Z,encanto el video,NEU,others,[],not ironic
102,@GAMER12345-r,"Man vs wild ❌
Mr beast ✔️😂",2024-09-24T12:49:27Z,man v wild mr beast,NEU,others,[],not ironic
103,@Swarnasiddqa,Mr best plz give me 10k dolar,2024-09-24T12:40:50Z,mr best plz give k dolar,NEU,others,[],ironic
104,@mathildanonhlanhla6849,"Mr beast is the best

🎉🎉❤❤❤❤🎉🎉🎉🎉🎉🎉❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉❤❤❤❤❤❤🎉🎉🎉🎉🎉❤❤❤❤❤❤🎉🎉🎉🎉",2024-09-24T12:30:50Z,mr beast best,POS,others,[],not ironic
105,@datobg,Hi MrBeast im your Big fan:),2024-09-24T12:14:07Z,hi mrbeast im big fan,POS,others,[],ironic
106,@rizkinurlaila9297,aku dukung mr beast,2024-09-24T12:00:29Z,aku dukung mr beast,NEU,others,[],not ironic
107,@rizkinurlaila9297,mr beast semoga banyak yang subscribe🎉,2024-09-24T11:59:52Z,mr beast semoga banyak yang subscribe,NEU,others,[],not ironic
108,@Kiran-c2h,Mr beast your are very nice your help poor,2024-09-24T11:15:45Z,mr beast nice help poor,NEU,others,[],ironic
109,@Arrrdi,Feastables are best chocolates at the world,2024-09-24T11:05:17Z,feastables best chocolate world,POS,joy,[],not ironic
110,@AnimeGuy-ka,Thanks for 10k subs😊,2024-09-24T10:58:14Z,thanks k sub,POS,others,[],ironic
111,@GaneshChandraChandra-f4v,Super bro😊,2024-09-24T10:44:21Z,super bro,POS,others,[],ironic
113,@Abdelrahmanmaged-nz6yc,ILove you mrbeast,2024-09-24T09:18:54Z,ilove mrbeast,POS,joy,[],not ironic
114,@haqsachkiawazofficials512,Outstanding,2024-09-24T09:02:00Z,outstanding,POS,others,[],ironic
115,@Sameercomedy-i5y,mammy kasam sameer+0+sk I will subscribe to you❤❤,2024-09-24T07:58:26Z,mammy kasam sameersk subscribe,NEU,others,[],not ironic
116,@MrVibes-786,Main bhi ese videos banata hun but 2 Subscribers 😢😢😢,2024-09-24T07:49:10Z,main bhi ese video banata hun subscriber,NEU,others,[],not ironic
117,@TienThanhPhan-h3z,Ngưỡng mộ a quá MrBeast a giúp em làm youtube được không em đến từ Việt Nam,2024-09-24T06:55:48Z,nguong mo qua mrbeast giup em lam youtube uoc khong em en tu viet nam,NEU,others,[],not ironic
118,@وسيممحمد-ع3م,I hope that I will enjoy one of your challenges and that you will allow me the opportunity to follow you from the right once again,2024-09-24T06:08:38Z,hope enjoy one challenge allow opportunity follow right,POS,others,[],not ironic
120,@mdkiyam5224,I am your big fan and i want to meet you 😢,2024-09-24T06:04:45Z,big fan want meet,POS,others,[],not ironic
121,@RammadTV,Atractive Place,2024-09-24T04:59:12Z,atractive place,NEU,others,[],ironic
122,@stefapowerful9256,Me acordé de el viaje al centro de la tierra 🗺️🗻🧭 eso es un reto para cualquiera bien hecho equipo beast ❤,2024-09-24T03:34:26Z,acorde de el viaje al centro de la tierra eso e un reto para cualquiera bien hecho equipo beast,NEU,others,[],not ironic
123,@brayanmarin8568,Como consigo una barra de chocolate feastables quiero probar una 🍫🍫🍫🍫,2024-09-24T03:33:46Z,como consigo una barra de chocolate feastables quiero probar una,NEU,others,[],not ironic
125,@Myfarry,"Thank you @mrBeast for giving us the best show and also helping the less privileged and even the privileged one’s u are one of the kindest people. Keep doing the good work. Pls can i participate in your next challenge i never hold dollar note in my life,even if i didn’t win i will get the chance to see and touch dollar note……i am from Africa 😊❤",2024-09-24T02:01:39Z,thank mrbeast giving u best show also helping less privileged even privileged one u one kindest people keep good work pls participate next challenge never hold dollar note lifeeven didnt win get chance see touch dollar notei africa,POS,joy,[],not ironic
126,@KMHANDMADE,"it's great that your channel has a translation for our language without having to read the subtitles like usual, 100 points❤❤❤",2024-09-24T01:31:27Z,great channel translation language without read subtitle like usual point,POS,joy,[],ironic
127,@CeciliaHernandez-u9g,Ya tengo feastasbles,2024-09-24T01:22:42Z,ya tengo feastasbles,NEU,others,[],not ironic
128,@seryergonzalez958,"MrBeast 
Regalame un Samsung galaxy S24 ultra please",2024-09-24T01:03:15Z,mrbeast regalame un samsung galaxy ultra please,NEU,others,[],not ironic
129,@Matteo-g4n7k,You should go to Australia 😊,2024-09-24T00:49:33Z,go australia,POS,others,[],not ironic
130,@fnafhellohi,Jimmy is goated,2024-09-23T23:55:05Z,jimmy goated,NEU,others,[],not ironic
131,@MahaboobShaik-x6z,umm do hounted house,2024-09-23T23:48:42Z,umm hounted house,NEU,others,[],not ironic
132,@MarcialPerezSanchez,I want to participate in a challenge I don't know if I have a chance,2024-09-23T23:35:51Z,want participate challenge dont know chance,NEU,others,[],not ironic
133,@WendyGatica-u2q,Quiero quiero uno de chocolates es que no no los he probado podrías jugar free fire,2024-09-23T23:27:46Z,quiero quiero uno de chocolate e que los probado podrias jugar free fire,NEU,others,[],not ironic
134,@Perro766,I came to see the video because it is for an assignment. I am from Central America and I came to see a video of yours. They are sentences in English but I think I have to learn some words. ❤,2024-09-23T23:18:25Z,came see video assignment central america came see video sentence english think learn word,NEU,others,[],not ironic
135,@DurdanaImran-l2n,Mr.Beast please invite us,2024-09-23T22:37:12Z,mrbeast please invite u,NEU,others,[],ironic
136,@PixelWorx,Mr Beast can I borrow your camera man to do my videos? These edits are unbelievable!,2024-09-23T21:51:53Z,mr beast borrow camera man video edits unbelievable,NEU,others,[],ironic
137,@lyntelebrico,amazing my friend,2024-09-23T20:30:44Z,amazing friend,POS,joy,[],ironic
138,@DaPenguinDude,Collab with benergy he wants to meet you,2024-09-23T20:21:40Z,collab benergy want meet,NEU,others,[],not ironic
139,@KerronKarr,Oh my God mr beast is an surviver,2024-09-23T20:11:40Z,oh god mr beast surviver,NEU,others,[],not ironic
140,@ines_story,Vous êtes fou mais c'est drôle ❤❤❤,2024-09-23T19:38:31Z,vous etes fou mais cest drole,NEU,others,[],not ironic
141,@awaisawais9530,hi Jimmy am really enjoying your all videos❤❤❤❤,2024-09-23T19:10:35Z,hi jimmy really enjoying video,POS,joy,[],ironic
142,@darwinzepeda837,Me puedes sacar en unos de tus videos porfa 🙏 soy del salvador,2024-09-23T19:07:04Z,puedes sacar en unos de tus video porfa soy del salvador,NEU,others,[],not ironic
143,@abdulrahmanbuanz8393,This is a tourist cave,2024-09-23T18:14:44Z,tourist cave,NEU,others,[],not ironic
144,@allycampbell7013,I love your chocolate. I had it today. It was so good. I love it.,2024-09-23T17:52:46Z,love chocolate today good love,POS,joy,[],ironic
145,@Bipuvlogofficial,Iam big fan sir,2024-09-23T17:45:26Z,iam big fan sir,POS,others,[],ironic
146,@ZORO-xy8fb,You best mrbeast❤❤,2024-09-23T17:38:34Z,best mrbeast,POS,joy,[],ironic
147,@Markolkopla,Jimmy i do not have money to you chockolade,2024-09-23T16:21:37Z,jimmy money chockolade,NEU,others,[],not ironic
148,@Cream_Cullen,"Jimmy, you look great and your body is perfect. I just noticed you in this clip. You're so handsome.❤",2024-09-23T15:50:18Z,jimmy look great body perfect noticed clip youre handsome,POS,joy,[],not ironic
149,@putrarahmatullah-my2hc,Ini yang paling keren dari video yang lain sebelumnya 👍🔥,2024-09-23T15:39:23Z,ini yang paling keren dari video yang lain sebelumnya,POS,others,[],not ironic
151,@tomalislam1478,I am a Bangladeshi. ❤❤❤,2024-09-23T14:57:36Z,bangladeshi,NEU,others,[],not ironic
152,@AbdulRasheed-vt4lr,What survival  challenge  should l try next?,2024-09-23T14:24:05Z,survival challenge l try next,NEU,others,[],not ironic
153,@Therajgaming-1,Survive 7 days in helicopter 😂 challenge you,2024-09-23T14:22:54Z,survive day helicopter challenge,NEU,others,[],not ironic
154,@orianalazochacon4407,Survive 24 hours at sea but only with things from Walmart,2024-09-23T13:26:51Z,survive hour sea thing walmart,NEU,others,[],not ironic
155,@CricketArafandAdif,Subscribers givava🎉,2024-09-23T13:01:36Z,subscriber givava,NEU,others,[],not ironic
157,@ifraAmir-in1xp,Collab with triggered insaan 🤞🏻,2024-09-23T12:45:44Z,collab triggered insaan,NEU,others,[],ironic
158,@SERINURAINASYAKIRABINTINORWANM,"Jimmy, when can I be in a video, cause i already subscribed for 2 years but I think I will not be in a video cause I'm in Malaysia 😢😢",2024-09-23T12:05:09Z,jimmy video cause already subscribed year think video cause im malaysia,NEU,others,[],not ironic
159,@TWAKSTAR,Ohh wow this was in nz ❤️‍🔥 my home. Welcome brothers,2024-09-23T11:12:39Z,ohh wow nz home welcome brother,POS,joy,[],ironic
160,@TWAKSTAR,Just wow ❤️‍🔥 respect guys what an adventure 🫡,2024-09-23T11:01:48Z,wow respect guy adventure,POS,joy,[],ironic
161,@SHG579,Mr beast all time best ❤,2024-09-23T10:02:14Z,mr beast time best,POS,others,[],ironic
162,@routerTheWifiMachine,"I mean, the vids still entertaining",2024-09-23T09:55:27Z,mean vids still entertaining,NEU,others,[],ironic
163,@KassimCossa,Como faço pra participar Mr beast,2024-09-23T08:57:59Z,como faco pra participar mr beast,NEU,others,[],not ironic
164,@Pp_chopas4y,If you see alot of accounts please give them all robux I'm to kind please 🥺🥺🥺🥺🥺🥺🥺🥺🙏🙏🥺🥺🙏🥺🥺🙏🥺🙏🙏🥺🙏🥺🙏🥺🥺🙏🥺🙏🙏🥺🥺🙏🥺🙏🙏🥺🥺🙏🥺,2024-09-23T08:56:25Z,see alot account please give robux im kind please,POS,others,[],not ironic
165,@KumarRanjan-xe1bo,But Mr beast  is tha beast,2024-09-23T08:50:42Z,mr beast tha beast,NEU,others,[],not ironic
166,@camm.kts1,Ya really wallen this video lit tho,2024-09-23T08:46:33Z,ya really wallen video lit tho,NEU,others,[],not ironic
167,@DipenDeepen,Oh i want 5000$ mr beast😢,2024-09-23T07:29:17Z,oh want mr beast,NEU,others,[],not ironic
168,@MdSifat-p9b,"My home is in Bangladesh, I am your big fan, I subscribe to your YouTube channel, I watch all your videos, we are very poor, please help us a little.❤❤",2024-09-23T06:53:09Z,home bangladesh big fan subscribe youtube channel watch video poor please help u little,NEU,others,[],not ironic
169,@moseschaudhary883,I want to be the part of your video please ❤❤❤❤,2024-09-23T06:51:46Z,want part video please,NEU,others,[],not ironic
170,@Mr-sonaria,I buy🎉,2024-09-23T05:35:56Z,buy,NEU,others,[],not ironic
171,@andreasalazardesmaidon3879,"😍where is?
Chandler,Mark & team MrBeast💙",2024-09-23T05:30:20Z,chandlermark team mrbeast,NEU,others,[],not ironic
172,@Oguljemal-td3tz,This is some kind of trash 😱 you are the most fearless person Mr. Beast,2024-09-23T04:50:34Z,kind trash fearless person mr beast,NEG,others,[],not ironic
173,@sugardonut7601,4:35 see how concerned Mack looks.,2024-09-23T04:28:27Z,see concerned mack look,NEU,others,[],not ironic
174,@Aztramilo,"My dream is that you can help me to build one school where kids can learn languages and music.
🙏🏻",2024-09-23T02:49:01Z,dream help build one school kid learn language music,NEU,others,[],not ironic
175,@nubiacruz9477,Falta venir a Perú 🎉🎉🎉,2024-09-23T02:46:54Z,falta venir peru,NEU,others,[],not ironic
176,@romeo3152,La mejor,2024-09-23T02:08:42Z,la mejor,NEU,others,[],not ironic
177,@luissantiagoruizbuitrago8113,PORQUE TIENES UNA CHAQUETA DE COLOMBIA,2024-09-23T01:49:47Z,porque tienes una chaqueta de colombia,NEU,others,[],not ironic
178,@aidan7508,You should make a s’mores flavored feastables 🤤,2024-09-23T01:35:00Z,make smores flavored feastables,NEU,others,[],not ironic
179,@BluMy2,15:18 The cave of the warden in real life,2024-09-23T01:26:23Z,cave warden real life,NEU,others,[],ironic
180,@TaniaEvans-o7e,"2:00 How did you guys sleep?
Horribly,
I didn't.",2024-09-23T00:49:22Z,guy sleep horribly didnt,NEG,others,[],ironic
181,@AgungYulianto-w7u,Mrbeast bikin konten lagi tapi yang banyak 😊😊😊😊,2024-09-23T00:35:59Z,mrbeast bikin konten lagi tapi yang banyak,NEU,others,[],not ironic
182,@Musketeer506,Thanks for 1k subscribers complete❤🎉🎉,2024-09-23T00:20:42Z,thanks k subscriber complete,POS,joy,[],ironic
183,@prince_blackiceraps2509,Spend 7 days in the amazon rain forest,2024-09-22T23:47:26Z,spend day amazon rain forest,NEU,others,[],not ironic
184,@emmanuelbone1658,"By surviving in a spider cave 
 for 100 days",2024-09-22T23:27:14Z,surviving spider cave day,NEU,others,[],ironic
185,@gustavoroman6824,MrBeast es mi tio vino de usa a Paraguay y me trajo un festobel es mi primera vez que como uno y es muy rico es el mejor dia de mi vida gracias  mrBeast😊,2024-09-22T23:03:08Z,mrbeast e mi tio vino de usa paraguay trajo un festobel e mi primera vez que como uno e muy rico e el mejor dia de mi vida gracias mrbeast,POS,others,[],not ironic
186,@Guilhermejet1.0,Hi master beast,2024-09-22T23:01:17Z,hi master beast,NEU,others,[],ironic
187,@agathavivian7571,Fiquei com medo só de olhar,2024-09-22T22:18:09Z,fiquei com medo de olhar,NEU,others,[],not ironic
189,@DaGreatAlexandrious,You should make a s’more feastables with graham cracker chunks and freeze dried marshmallows in it,2024-09-22T21:20:00Z,make smore feastables graham cracker chunk freeze dried marshmallow,NEU,others,[],not ironic
191,@glorykaiser,Survive the Amazon forest,2024-09-22T19:23:04Z,survive amazon forest,NEU,others,[],not ironic
194,@Mager-rm4hx,Mr beast is the best bro really,2024-09-22T18:39:59Z,mr beast best bro really,POS,others,[],ironic
195,@DJAmoment4ever,"Very awesome video Jimmy, but I am worried for you and the boys! What you did was extremely risky even if not everything is real and you had a medical team behind to protect you guys. I hope your girlfriend Thea Booysen can make you change your mind on doing less extreme challenges not, because you and your team wouldn´t be able to achieve them, not, because they wouldnt generate a lot of views for you and make you guys richer, but because you have a giant influence on people of all ages all around the world and you should not risk your health for a challenge that could also be considered a hobby. Don´t forget you have the ideas and crew to back you up to make money daily with educational or documentary videos and much more not just challenges. Also consider hireing real stunt man you have the budget for it and they are professionals.",2024-09-22T18:31:30Z,awesome video jimmy worried boy extremely risky even everything real medical team behind protect guy hope girlfriend thea booysen make change mind less extreme challenge team able achieve wouldnt generate lot view make guy richer giant influence people age around world risk health challenge could also considered hobby forget idea crew back make money daily educational documentary video much challenge also consider hireing real stunt man budget professional,NEU,others,[],not ironic
196,@dvmbgrl,"this is how i feel living in ireland, its alway wet and cold😢😂",2024-09-22T18:28:24Z,feel living ireland alway wet cold,NEG,others,[],not ironic
197,@KatiaPerez-m7w,Exelente videos,2024-09-22T18:22:26Z,exelente video,NEU,others,[],not ironic
198,@GirlLeader2016,Maybe you can do stuck in a closet for 24 hours 😉,2024-09-22T18:04:09Z,maybe stuck closet hour,NEU,others,[],not ironic
200,@yudadiara,"Hopefully I can get a cellphone giveaway for work from Mr. Beasts

￼",2024-09-22T17:57:43Z,hopefully get cellphone giveaway work mr beast,POS,others,[],ironic
203,@shallmaleovid,Seruuu broo 🎉🎉,2024-09-22T17:07:34Z,seruuu broo,NEU,others,[],ironic
204,@nomikonomiko-p7d,I missing out on feastables bcs it doesn't sell in the country i live i think,2024-09-22T17:05:25Z,missing feastables bcs doesnt sell country live think,NEG,others,[],not ironic
205,@arefinahamed9183,Cr7 is coming 😅😅,2024-09-22T16:49:40Z,cr coming,NEU,others,[],not ironic
206,@joygaming33333,Challenge make my subscriber's 100k,2024-09-22T16:31:31Z,challenge make subscriber k,NEU,others,[],not ironic
207,@chadimakdessi6197,Mr beast chocolate the best in the world,2024-09-22T15:49:31Z,mr beast chocolate best world,POS,others,[],not ironic
208,@camilomedina2870,Me encanta tus videos desde 🇻🇪,2024-09-22T14:53:20Z,encanta tus video desde,NEU,others,[],not ironic
209,@ଭିଡ଼ିଓ,Takiyou mr beast🙏😅😊...,2024-09-22T14:23:30Z,takiyou mr beast,NEU,others,[],ironic
211,@REVEN254,I am fans Mr beast 🎉😢,2024-09-22T14:18:30Z,fan mr beast,NEU,others,[],ironic
212,@Dineshkumar-zf3rw,Why he using Hindi language?,2024-09-22T14:10:07Z,using hindi language,NEU,others,[],ironic
213,@OusmaneDembele-s1o,Please i love mrbeast,2024-09-22T13:57:28Z,please love mrbeast,POS,others,[],not ironic
214,@dexego,i got early access to the new feastubles,2024-09-22T13:05:22Z,got early access new feastubles,NEU,others,[],ironic
215,@PandaGamerP,Survive 100 hours in Antarctica,2024-09-22T12:59:02Z,survive hour antarctica,NEU,others,[],ironic
217,@mangyasa4168,Mr Beast I want a new cell phone I've been subscribing for a long time but never got a gift 😭,2024-09-22T11:27:26Z,mr beast want new cell phone ive subscribing long time never got gift,NEU,others,[],not ironic
218,@goodspriya26,You are best ❤️,2024-09-22T10:55:15Z,best,POS,others,[],ironic
219,@A1SV-,Mrbeast make webseries action please ❤,2024-09-22T10:48:22Z,mrbeast make webseries action please,NEU,others,[],not ironic
220,@Fannytv004,Big fan please give me $1000😭😭,2024-09-22T10:34:18Z,big fan please give,POS,others,[],not ironic
221,@Golkhafishing,"amazing natural beauty, joss, keep your spirit healthy, always mr💪👍",2024-09-22T10:26:32Z,amazing natural beauty joss keep spirit healthy always mr,POS,joy,[],not ironic
